file_name|success|fail|pourcentage
gibier d'eau\Bécasses\Bécassines des marrais1[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Bécassines des marrais2[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Bécassines des marrais3[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Chevalier1[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Chevalier2[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Chevalier3[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Chevalier4[!migrateur][!chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Courlis cendré1[!migrateur][!non chassable].jpg|1|0|100%
gibier d'eau\Bécasses\Courlis cendré2[!migrateur][!non chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard colvert1[!femelle][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard colvert1[!male][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard colvert2[!femelle][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard colvert2[!male][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard colvert3[!femelle][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard colvert3[!male][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard pilet1[!migrateur][!surface][!chassable].jpg|0|1|0%
gibier d'eau\Canards de surface\Canard pilet2[!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard pilet3[!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard siffleur1[!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard siffleur2[!migrateur][!surface][!chassable].jpg|0|1|0%
gibier d'eau\Canards de surface\Canard souchet1[!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard souchet2[!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Canard souchet3[!migrateur][!surface][!chassable].jpg|0|1|0%
gibier d'eau\Canards de surface\Canard souchet4[!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Sarcelle été1[!male][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards de surface\Sarcelle été2[!male][!migrateur][!surface][!chassable].jpg|1|0|100%
gibier d'eau\Canards plongeurs\Canard fuligule morillon1[!migrateur][!plongeur][!chassable].jpg|1|0|100%
